commit_hash,commit_size,files_changed,test_coverage,past_failures,dependency_changes,author_experience,time_of_commit,build_time,build_outcome
abc000000,20,2,70.03971147985149,1,0,38,0,26.184878629786546,0
abc000001,200,1,86.38026305099905,2,0,169,18,518.8466207310439,1
abc000002,50,10,83.21126508531114,2,0,103,12,49.44913589558561,1
abc000003,50,1,40.772993328564155,2,0,98,12,11.663295198323862,0
abc000004,10,2,40.44746288190318,5,0,115,12,381.3431832729753,0
abc000005,10,5,48.77220574214393,2,0,40,12,98.66178220175372,0
abc000006,10,2,55.275230843872606,3,0,64,18,376.0499323846699,1
abc000007,100,5,58.59189069859379,0,0,89,12,242.96177677943464,0
abc000008,50,1,77.57880517833416,2,0,100,0,34.55841068758734,0
abc000009,50,2,33.967630251608476,1,0,144,18,807.0486744870278,1
abc000010,10,1,32.42708929582464,3,1,82,12,180.61604041567483,1
abc000011,200,1,57.43373940607363,2,1,77,18,397.78256429535855,1
abc000012,100,10,78.80145844965864,1,0,59,18,208.55712316940156,0
abc000013,10,1,43.54047400695378,2,0,91,18,278.17629004682374,0
abc000014,10,3,74.90531368793762,1,0,98,6,108.1935268026013,1
abc000015,10,2,48.187969655820964,2,0,139,12,67.07820983101772,1
abc000016,20,2,92.02602761694615,5,0,1,6,234.6395568340522,0
abc000017,20,10,92.69829609866315,3,1,13,0,174.06287846548122,0
abc000018,20,1,50.81010429969285,4,0,30,0,148.3445804499431,1
abc000019,10,3,46.09956277742684,2,0,197,6,334.9417262459164,0
abc000020,50,25,58.79127804463619,2,0,18,12,351.8455845698722,1
abc000021,10,3,46.83721096261041,0,0,78,18,14.10234371948585,1
abc000022,10,10,77.06686903041926,2,0,141,0,124.08449086761878,1
abc000023,20,1,87.82452791837999,1,0,32,0,159.18839593411406,1
abc000024,20,2,77.11644916378519,1,1,71,0,30.573992952889736,0
abc000025,100,2,87.70453130745446,2,0,50,12,80.71732278079129,0
abc000026,10,5,57.78945135452319,3,1,199,6,15.906899119197467,0
abc000027,20,25,40.94218794962026,1,1,116,6,1675.168386067397,1
abc000028,50,2,81.65656631783145,2,0,113,12,400.17570709127443,1
abc000029,10,3,55.23321535990877,1,0,80,0,27.45377160197757,0
abc000030,50,1,76.98895776603928,2,0,31,12,6.137162662157012,0
abc000031,10,3,48.9450759387236,1,0,51,12,381.1276002988845,0
abc000032,10,2,35.68607443646709,1,0,155,6,173.51309203918433,0
abc000033,200,25,99.48072568414344,3,1,60,12,463.6527452707014,1
abc000034,200,3,40.93410555514195,3,0,33,12,771.0454068192113,1
abc000035,100,2,99.18946957744367,1,0,181,0,274.3629696547402,0
abc000036,20,1,98.40959527965131,0,0,127,18,62.14726195488042,0
abc000037,10,1,85.56726727356278,3,0,161,0,457.2452058454041,0
abc000038,50,1,76.15960734573983,3,0,126,6,935.7888623629605,0
abc000039,20,2,70.44649351757593,3,0,41,18,260.41542085879274,0
abc000040,10,10,90.62710817644843,0,0,19,0,343.70876064453086,1
abc000041,20,3,50.26076651336416,0,0,41,12,123.50895770404662,0
abc000042,10,3,62.73768487394139,0,1,85,12,144.1508595872584,1
abc000043,200,1,73.35729785565513,4,0,89,18,398.0167561484056,0
abc000044,10,10,58.78333331086438,1,1,42,18,788.3745042321387,1
abc000045,50,5,59.924051786318756,3,0,120,12,297.45657467475223,0
abc000046,20,1,53.11992672514591,0,0,23,6,467.97712952876134,0
abc000047,20,5,69.49622716791752,0,0,33,0,56.49042644933273,0
abc000048,20,3,89.54021696105812,4,0,20,12,71.46158236666957,1
abc000049,10,1,44.1069864604419,1,0,153,0,227.80833089299995,0
abc000050,200,2,95.4103127127409,2,0,90,0,58.277261623918804,1
abc000051,100,2,78.23613576237608,4,0,104,0,302.3533257740428,0
abc000052,200,1,87.6291248876021,1,0,180,0,103.4464362266666,0
abc000053,100,10,68.9333484841008,0,0,12,6,470.39180832825434,1
abc000054,50,5,84.56616909968444,1,0,160,6,495.25043823600777,1
abc000055,200,3,31.134027813762703,2,0,161,6,186.96739762253847,0
abc000056,10,2,87.28662973456747,1,1,196,12,59.83200210145181,0
abc000057,10,2,32.80972013597565,1,0,143,12,312.1949763453049,0
abc000058,10,3,92.29393634540037,1,0,51,12,1479.5618572503884,1
abc000059,20,3,99.43739230670504,3,1,6,6,292.3276585617484,0
abc000060,20,1,50.58472235237445,1,0,91,0,10.929086506474453,0
abc000061,10,3,44.72229894000556,1,1,197,6,5.233579003699667,1
abc000062,100,5,83.57543547006284,3,0,69,12,115.85847962595548,0
abc000063,20,2,47.71184386441773,1,1,163,18,65.36614470290347,1
abc000064,10,1,90.58936682205425,2,0,123,12,503.07616038544506,0
abc000065,20,5,37.19898145102337,0,1,162,0,558.9231558920716,1
abc000066,10,1,38.81686374655508,1,0,191,6,89.7720921964494,0
abc000067,100,2,98.5406088570431,3,0,196,18,118.19948092164218,0
abc000068,10,1,77.16872287890033,1,0,146,18,80.85323947373132,1
abc000069,500,2,89.2821057100267,4,0,115,0,717.0400483708075,0
abc000070,100,5,52.703056414606266,2,0,154,6,209.53798126157687,1
abc000071,10,3,77.35386246644231,0,0,111,18,320.25362548322113,0
abc000072,10,1,71.5969279116018,4,1,61,12,161.09035539573168,0
abc000073,100,10,72.22050840860629,2,0,107,0,299.09913013899774,1
abc000074,50,10,77.77727216764052,1,1,78,18,146.25745073171066,1
abc000075,50,10,70.2751421190369,1,0,95,0,124.50850411525515,0
